,id,text,created_at
80,1495415006166654985,@SetiaAdy_p @Hilmi28 @jokowi @ganjarpranowo @PDI_Perjuangan Udah daftar BPJS belum gan.?,2022-02-20T15:08:15.000Z
81,1495414997081489410,RT @SuperOne1984: Rakyat ngantri... Apa gak sukses nih @jokowi menyengsarakan rakyat?,2022-02-20T15:08:13.000Z
82,1495414988072120327,"@jokowi Pundi - Pundi Rupiah dalam Proyek yang amburadul dan KPK RI cuma duduk manis di Jakarta, saat uang Negara di makan habis oknum - oknum nakal yang bermain proyek, dimana proyek terus menerus dan masuk dalam luncuran, BPK RI adem - adem saja,malah kasih WTP
https://t.co/Tvr5XaRU1h",2022-02-20T15:08:11.000Z
83,1495414963699027971,"@jokowi @DivHumas_Polri @ListyoSigitP @kemkominfo @mohmahfudmd @PolhukamRI @kemkominfo HIGSS DOMINO ISLAND ITU JUDI dan PENIPUAN. Tolong ditinjau ulang. Sdh byk korban. Anda semua diberikan kesempatan oleh Allah menjadi penyelenggara negara, dan punya wewenang menghentikannya!.",2022-02-20T15:08:05.000Z
84,1495414949568745473,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:08:02.000Z
85,1495414943759605763,"Mantap 👍🏻
Kerja keras Presiden @jokowi  sudah jelas akan mendapatkan umpan balik dari rakyat, kepuasan terhadap kinerja Pak Jokowi terus meningkat. 👏🏻

Jokowi semakin di depan.
Para pembenci semakin kedodoran. 

https://t.co/EtJp8nOpHm https://t.co/FMB4i2zUT7",2022-02-20T15:08:00.000Z
86,1495414936696016904,"@jokowi Semoga dari pemerintahnya lebih perhatian ke cabor badminton, secara cabor paling sering mengharumkan nama Indonesia",2022-02-20T15:07:59.000Z
87,1495414930555629570,"@jokowi Pundi - Pundi Rupiah dalam Proyek yang amburadul dan KPK RI cuma duduk manis di Jakarta, saat uang Negara di makan habis oknum - oknum nakal yang bermain proyek, dimana proyek terus menerus dan masuk dalam luncuran, BPK RI adem - adem saja,malah kasih WTP
https://t.co/Tvr5XaRU1h",2022-02-20T15:07:57.000Z
88,1495414912260083713,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:07:53.000Z
90,1495414894643986439,RT @detikcom: Jokowi mewajibkan kartu peserta BPJS Kesehatan sebagai syarat untuk mendapatkan beberapa pelayanan publik. Ini aturannya:  ht…,2022-02-20T15:07:49.000Z
91,1495414882120122368,"RT @abu_beniamin: ERA JOKOWI, PEMBANGUNAN INDONESIA MAKIN MERATA... https://t.co/rU3qDbCiLO",2022-02-20T15:07:46.000Z
92,1495414854881927170,"@Pembasmirasis @Hilmi28 @jokowi @ganjarpranowo @PDI_Perjuangan 2,3,4.....bnyk bngt cebong diseluruh Indonesia. Lbh bnyk dr kadal.👍🤪",2022-02-20T15:07:39.000Z
93,1495414847605190658,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:07:37.000Z
94,1495414826784354310,"RT @LurahIstana: Malam ini sampai pukul 21.13 jokowi memanggil beberapa menteri diantaranya menaker,menkominfo,menkopolhukam  dan kepala bi…",2022-02-20T15:07:32.000Z
95,1495414820367380481,"Eh baru cek tweet ini. Terima kasih Pak.

Pintaku masih sama seperti yg lalu, tolong bangun stadion olahraga dgn standar internasional dan tersebar banyak di daerah2. Khususon stadium badminton biar gak cuma Istora aja. 

Makasih Pak

Cc Pak @KEMENPORA_RI https://t.co/bdAaonlOYp",2022-02-20T15:07:31.000Z
96,1495414815099002880,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:07:30.000Z
97,1495414813467365380,"RT @cybsquad_: Jaminan hari tua BPJS baru bisa cair di usia 56 tahun 

Tenang.. pengangguran digaji kata pakde @jokowi https://t.co/Ke8mxFK…",2022-02-20T15:07:29.000Z
99,1495414811878113281,"RT @dancersejati1: BuzzerRp itu pendukung palsu buatan pemerintahan Jokowi. 

Luhut dan Jokowi itu lemah, gak mengakar. 

JK: Baru Bertanya…",2022-02-20T15:07:29.000Z
0,1496150449145135120,@GariiMitchell @lukmanpohan08 @dj_pang @ridwankamil kasian padahal masa pak jokowi ya,2022-02-22T15:50:38.000Z
1,1496150442396778500,"Saran #SoeDADANG buat Mas @jokowi atasi kelangkaan #MinyakGoreng Surat Yusuf Ayat 48:
""Kemudian setelah itu akan datang tujuh (tahun) yg sangat sulit, yang menghabiskan apa yang kamu simpan untuk menghadapinya (tahun sulit), kecuali sedikit dari apa (bibit gandum) yg kamu simpan""",2022-02-22T15:50:37.000Z
2,1496150433022513153,"RT @knpiharis: Mereka di bayar untuk melakukan penganiayaan yang mengakibatkan diri saya hampir saja kehilangan nyawa, tolong pak @jokowi d…",2022-02-22T15:50:35.000Z
3,1496150393155637251,"RT @Rizmaya__: Kadrun gagal maning dengan Framing Rezim Jokowi otoriter, menggiring opini untuk menyudutkan pemerintah.

Kasiahn kalian dru…",2022-02-22T15:50:25.000Z
4,1496150393134653442,"@demokrasicoid Raja Singa kali jok...
#copas
Jokowi Ingin Indonesia Jadi Raja Produsen Kendaraan Listrik https://t.co/Bcy0lgrADV",2022-02-22T15:50:25.000Z
5,1496150383156150287,"RT @knpiharis: Mereka di bayar untuk melakukan penganiayaan yang mengakibatkan diri saya hampir saja kehilangan nyawa, tolong pak @jokowi d…",2022-02-22T15:50:23.000Z
